date,Team1,Score1,Score2,Team2
2018-07-15,法国,4,2,克罗地亚
2018-07-14,比利时,2,0,英格兰
2018-07-12,克罗地亚,2,1,英格兰
2018-07-11,法国,1,0,比利时
2018-07-08,俄罗斯,5,6,克罗地亚
2018-07-07,瑞典,0,2,英格兰
2018-07-07,巴西,1,2,比利时
2018-07-06,乌拉圭,0,2,法国
2018-07-04,哥伦比亚,4,5,英格兰
2018-07-03,瑞典,1,0,瑞士
2018-07-03,比利时,3,2,日本
2018-07-02,巴西,2,0,墨西哥
2018-07-02,克罗地亚,4,3,丹麦
2018-07-01,西班牙,4,5,俄罗斯
2018-07-01,乌拉圭,2,1,葡萄牙
2018-06-30,法国,4,3,阿根廷
2018-06-29,英格兰,0,1,比利时
2018-06-29,巴拿马,1,2,突尼斯
2018-06-28,日本,0,1,波兰
2018-06-28,塞内加尔,0,1,哥伦比亚
2018-06-28,塞尔维亚,0,2,巴西
2018-06-28,瑞士,2,2,哥斯达黎加
2018-06-27,韩国,2,0,德国
2018-06-27,墨西哥,0,3,瑞典
2018-06-27,冰岛,1,2,克罗地亚
2018-06-27,尼日利亚,1,2,阿根廷
2018-06-26,澳大利亚,0,2,秘鲁
2018-06-26,丹麦,0,0,法国
2018-06-26,伊朗,1,1,葡萄牙
2018-06-26,西班牙,2,2,摩洛哥
2018-06-25,沙特阿拉伯,2,1,埃及
2018-06-25,乌拉圭,3,0,俄罗斯
2018-06-25,波兰,0,3,哥伦比亚
2018-06-24,日本,2,2,塞内加尔
2018-06-24,英格兰,6,1,巴拿马
2018-06-24,德国,2,1,瑞典
2018-06-23,韩国,1,2,墨西哥
2018-06-23,比利时,5,2,突尼斯
2018-06-23,塞尔维亚,1,2,瑞士
2018-06-22,尼日利亚,2,0,冰岛
2018-06-22,巴西,2,0,哥斯达黎加
2018-06-22,阿根廷,0,3,克罗地亚
2018-06-21,法国,1,0,秘鲁
2018-06-21,丹麦,1,1,澳大利亚
2018-06-21,伊朗,0,1,西班牙
2018-06-20,乌拉圭,1,0,沙特阿拉伯
2018-06-20,葡萄牙,1,0,摩洛哥
2018-06-20,俄罗斯,3,1,埃及
2018-06-19,波兰,1,2,塞内加尔
2018-06-19,哥伦比亚,1,2,日本
2018-06-19,突尼斯,1,2,英格兰
2018-06-18,比利时,3,0,巴拿马
2018-06-18,瑞典,1,0,韩国
2018-06-18,巴西,1,1,瑞士
2018-06-17,德国,0,1,墨西哥
2018-06-17,哥斯达黎加,0,1,塞尔维亚
2018-06-17,克罗地亚,2,0,尼日利亚
2018-06-17,秘鲁,0,1,丹麦
2018-06-16,阿根廷,1,1,冰岛
2018-06-16,法国,2,1,澳大利亚
2018-06-16,葡萄牙,3,3,西班牙
2018-06-15,摩洛哥,0,1,伊朗
2018-06-15,埃及,0,1,乌拉圭
2018-06-14,俄罗斯,5,0,沙特阿拉伯
