country,times,win,goals,rate of winning,Average goal
比利时,48,20,68,0.4166666666666667,1.4166666666666667
法国,66,34,120,0.5151515151515151,1.8181818181818181
巴西,109,73,229,0.6697247706422018,2.1009174311926606
秘鲁,18,5,21,0.2777777777777778,1.1666666666666667
阿根廷,81,43,137,0.5308641975308642,1.691358024691358
智利,33,11,40,0.3333333333333333,1.2121212121212122
玻利维亚,6,0,1,0.0,0.16666666666666666
巴拉圭,27,7,30,0.25925925925925924,1.1111111111111112
乌拉圭,56,24,87,0.42857142857142855,1.5535714285714286
奥地利,29,12,43,0.41379310344827586,1.4827586206896552
捷克斯洛伐克,30,11,44,0.36666666666666664,1.4666666666666666
埃及,7,0,5,0.0,0.7142857142857143
意大利,83,45,128,0.5421686746987951,1.5421686746987953
荷兰,50,27,86,0.54,1.72
德国,109,67,226,0.6146788990825688,2.073394495412844
古巴,3,1,5,0.3333333333333333,1.6666666666666667
匈牙利,32,15,87,0.46875,2.71875
西班牙,63,30,99,0.47619047619047616,1.5714285714285714
瑞士,37,12,50,0.32432432432432434,1.3513513513513513
墨西哥,57,16,60,0.2807017543859649,1.0526315789473684
英格兰,69,29,91,0.42028985507246375,1.318840579710145
瑞典,51,19,80,0.37254901960784315,1.5686274509803921
苏格兰,23,4,25,0.17391304347826086,1.0869565217391304
韩国,29,6,29,0.20689655172413793,1.0
哥伦比亚,22,9,32,0.4090909090909091,1.4545454545454546
俄罗斯,45,19,77,0.4222222222222222,1.711111111111111
保加利亚,26,3,22,0.11538461538461539,0.8461538461538461
朝鲜,12,1,11,0.08333333333333333,0.9166666666666666
葡萄牙,30,14,49,0.4666666666666667,1.6333333333333333
以色列,3,0,1,0.0,0.3333333333333333
摩洛哥,16,2,14,0.125,0.875
萨尔瓦多,6,0,1,0.0,0.16666666666666666
刚果民主共和国,2,0,0,0.0,0.0
民主德国,6,2,5,0.3333333333333333,0.8333333333333334
波兰,34,16,46,0.47058823529411764,1.3529411764705883
南斯拉夫,33,14,55,0.42424242424242425,1.6666666666666667
海地,3,0,2,0.0,0.6666666666666666
澳大利亚,16,2,13,0.125,0.8125
伊朗,15,2,9,0.13333333333333333,0.6
阿尔及利亚,13,3,13,0.23076923076923078,1.0
洪都拉斯,9,0,3,0.0,0.3333333333333333
加拿大,3,0,0,0.0,0.0
北爱尔兰,13,3,13,0.23076923076923078,1.0
丹麦,20,9,30,0.45,1.5
伊拉克,3,0,1,0.0,0.3333333333333333
阿拉伯联合酋长国,3,0,2,0.0,0.6666666666666666
美国,33,8,37,0.24242424242424243,1.121212121212121
哥斯达黎加,18,5,19,0.2777777777777778,1.0555555555555556
喀麦隆,23,4,18,0.17391304347826086,0.782608695652174
爱尔兰,13,2,10,0.15384615384615385,0.7692307692307693
挪威,8,2,7,0.25,0.875
尼日利亚,21,6,23,0.2857142857142857,1.0952380952380953
罗马尼亚,21,8,30,0.38095238095238093,1.4285714285714286
沙特阿拉伯,16,3,11,0.1875,0.6875
希腊,10,2,5,0.2,0.5
牙买加,3,1,3,0.3333333333333333,1.0
塞尔维亚,13,4,11,0.3076923076923077,0.8461538461538461
南非,9,2,11,0.2222222222222222,1.2222222222222223
日本,21,5,20,0.23809523809523808,0.9523809523809523
克罗地亚,23,11,35,0.4782608695652174,1.5217391304347827
中国,3,0,0,0.0,0.0
突尼斯,15,2,13,0.13333333333333333,0.8666666666666667
塞内加尔,8,3,11,0.375,1.375
斯洛文尼亚,6,1,5,0.16666666666666666,0.8333333333333334
厄瓜多尔,10,4,10,0.4,1.0
土耳其,10,5,20,0.5,2.0
特立尼达和多巴哥,3,0,0,0.0,0.0
安哥拉,3,0,1,0.0,0.3333333333333333
捷克共和国,3,1,3,0.3333333333333333,1.0
多哥,3,0,1,0.0,0.3333333333333333
科特迪瓦,9,3,13,0.3333333333333333,1.4444444444444444
迦纳,12,4,13,0.3333333333333333,1.0833333333333333
乌克兰,5,2,5,0.4,1.0
新西兰,6,0,4,0.0,0.6666666666666666
斯洛伐克,4,1,5,0.25,1.25
波斯尼亚和黑塞哥维那,3,1,4,0.3333333333333333,1.3333333333333333
冰岛,3,0,2,0.0,0.6666666666666666
巴拿马,3,0,2,0.0,0.6666666666666666
印度尼西亚,1,0,0,0.0,0.0
威尔士,5,1,4,0.2,0.8
刚果（金）,1,0,0,0.0,0.0
科威特,3,0,2,0.0,0.6666666666666666
