date,team1,team2,team1_score,team2_score
06月13日 星期五,巴西,克罗地亚,3,1
06月14日 星期六,墨西哥,喀麦隆,1,0
06月14日 星期六,西班牙,荷兰,1,5
06月14日 星期六,智利,澳大利亚,3,1
06月15日 星期日,哥伦比亚,希腊,3,0
06月15日 星期日,乌拉圭,哥斯达黎加,1,3
06月15日 星期日,英格兰,意大利,1,2
06月15日 星期日,科特迪瓦,日本,2,1
06月16日 星期一,瑞士,厄瓜多尔,2,1
06月16日 星期一,法国,洪都拉斯,3,0
06月16日 星期一,阿根廷,波黑,2,1
06月17日 星期二,德国,葡萄牙,4,0
06月17日 星期二,伊朗,尼日利亚,0,0
06月17日 星期二,加纳,美国,1,2
06月18日 星期三,比利时,阿尔及利亚,2,1
06月18日 星期三,巴西,墨西哥,0,0
06月18日 星期三,俄罗斯,韩国,1,1
06月19日 星期四,澳大利亚,荷兰,2,3
06月19日 星期四,西班牙,智利,0,2
06月19日 星期四,喀麦隆,克罗地亚,0,4
06月20日 星期五,哥伦比亚,科特迪瓦,2,1
06月20日 星期五,乌拉圭,英格兰,2,1
06月20日 星期五,日本,希腊,0,0
06月21日 星期六,意大利,哥斯达黎加,0,1
06月21日 星期六,瑞士,法国,2,5
06月21日 星期六,洪都拉斯,厄瓜多尔,1,2
06月22日 星期日,阿根廷,伊朗,1,0
06月22日 星期日,德国,加纳,2,2
06月22日 星期日,尼日利亚,波黑,1,0
06月23日 星期一,比利时,俄罗斯,1,0
06月23日 星期一,韩国,阿尔及利亚,2,4
06月23日 星期一,美国,葡萄牙,2,2
06月24日 星期二,澳大利亚,西班牙,0,3
06月24日 星期二,荷兰,智利,2,0
06月24日 星期二,喀麦隆,巴西,1,4
06月24日 星期二,克罗地亚,墨西哥,1,3
06月25日 星期三,意大利,乌拉圭,0,1
06月25日 星期三,哥斯达黎加,英格兰,0,0
06月25日 星期三,日本,哥伦比亚,1,4
06月25日 星期三,希腊,科特迪瓦,2,1
06月26日 星期四,尼日利亚,阿根廷,2,3
06月26日 星期四,波黑,伊朗,3,1
06月26日 星期四,洪都拉斯,瑞士,0,3
06月26日 星期四,厄瓜多尔,法国,0,0
06月27日 星期五,美国,德国,0,1
06月27日 星期五,葡萄牙,加纳,2,1
06月27日 星期五,韩国,比利时,0,1
06月27日 星期五,阿尔及利亚,俄罗斯,1,1
06月29日 星期日,巴西,智利,4,3
06月29日 星期日,哥伦比亚,乌拉圭,2,0
06月30日 星期一,荷兰,墨西哥,2,1
06月30日 星期一,哥斯达黎加,希腊,6,4
07月01日 星期二,法国,尼日利亚,2,0
07月01日 星期二,德国,阿尔及利亚,2,1
07月02日 星期三,阿根廷,瑞士,1,0
07月02日 星期三,比利时,美国,2,1
07月05日 星期六,法国,德国,0,1
07月05日 星期六,巴西,哥伦比亚,2,1
07月06日 星期日,阿根廷,比利时,1,0
07月06日 星期日,荷兰,哥斯达黎加,4,3
07月09日 星期三,巴西,德国,1,7
07月10日 星期四,荷兰,阿根廷,2,4
07月13日 星期日,巴西,荷兰,0,3
07月14日 星期一,德国,阿根廷,1,0
